GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,SchemaLabel,297,0,32,0,66,0,41,0,25,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,EdgeLabel,196,0,24,0,39,0,32,0,20,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,SchemaManager,306,0,18,0,59,0,29,0,20,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,SchemaElement,250,0,24,0,51,0,34,0,22,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,IndexLabel,423,0,54,0,88,0,57,0,22,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,VertexLabel,109,0,6,0,23,0,16,0,13,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,SchemaElement.TaskWithSchema,66,0,0,0,19,0,7,0,7,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,Userdata,52,0,9,0,16,0,8,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.schema,PropertyKey,594,0,81,0,139,0,73,0,29,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,IndexLabelRemoveJob,78,0,4,0,25,0,6,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,OlapPropertyKeyClearJob,105,0,8,0,32,0,9,0,5,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,OlapPropertyKeyRemoveJob,37,0,2,0,11,0,4,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,IndexLabelRebuildJob,335,0,37,0,82,0,29,0,9,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,OlapPropertyKeyCreateJob,25,0,0,0,7,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,EdgeLabelRemoveJob,93,0,6,0,28,0,7,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,VertexLabelRemoveJob,128,0,10,0,34,0,9,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.schema,SchemaJob,198,0,12,0,34,0,14,0,8,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.type,HugeType,641,0,102,0,64,0,75,0,24,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.version,CoreVersion,15,0,0,0,6,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,Int2IntsMap,320,0,22,0,70,0,21,0,10,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator,33,0,0,0,6,0,5,0,5,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.ArrayIntIterator,30,0,2,0,6,0,4,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash.Entry,64,0,0,0,21,0,7,0,7,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash.HashIterator,214,0,30,0,46,0,19,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMap.IntMapByFixedAddr.ValueIterator,106,0,12,0,26,0,9,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.EmptyIntIterator,9,0,0,0,3,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMap.IntMapByFixedAddr.KeyIterator,113,0,14,0,28,0,11,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntSet.IntSetByFixedAddr,205,0,18,0,45,0,17,0,8,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash.IteratorState,25,0,0,0,9,0,2,0,2,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMap,3,0,0,0,1,0,1,0,1,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash.ValueIterator,11,0,0,0,2,0,2,0,2,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,ObjectIntMappingFactory.SingleThreadObjectIntMapping,107,0,18,0,27,0,15,0,6,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMap.IntMapBySegments,448,0,46,0,85,0,40,0,17,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntSet.IntSetByFixedAddrByHppc,40,0,0,0,12,0,7,0,7,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMap.IntMapByEcSegment,183,0,10,0,33,0,17,0,12,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntSet.IntSetByEcSegment,106,0,6,0,20,0,11,0,8,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.MapperInt2ObjectIterator,20,0,0,0,6,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash.KeyIterator,11,0,0,0,2,0,2,0,2,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntSet,85,0,4,0,18,0,6,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.EcIntIterator,14,0,0,0,5,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntSet.IntSetBySegments,332,0,30,0,65,0,28,0,13,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.MapperInt2IntIterator,20,0,0,0,6,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMap.IntMapByFixedAddr,338,0,38,0,79,0,32,0,13,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,ObjectIntMappingFactory,16,0,2,0,4,0,4,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.IntIterators,81,0,14,0,21,0,12,0,5,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,CollectionFactory,417,0,42,0,74,0,58,0,28,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IdSet,105,0,12,0,24,0,14,0,8,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntIterator.new Iterator() {...},15,0,0,0,3,0,3,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntSet.IntSetByFixedAddr4Unsigned,321,0,36,0,76,0,30,0,12,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IdSet.EcLongIdIterator,19,0,0,0,7,0,4,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash,1297,0,204,0,340,0,137,0,35,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,ObjectIntMappingFactory.ConcurrentObjectIntMapping,26,0,0,0,8,0,5,0,5,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.util.collection,IntMapByDynamicHash.ResizeContainer,123,0,18,0,37,0,18,0,9,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.traversal.algorithm.steps,RepeatEdgeStep,108,0,0,0,34,0,14,0,14,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.traversal.algorithm.steps,EdgeStep,192,0,14,0,42,0,23,0,16,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.traversal.algorithm.steps,WeightedEdgeStep,128,0,10,0,28,0,15,0,10,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.traversal.algorithm.steps,Steps,283,0,40,0,48,0,35,0,15,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.traversal.algorithm.steps,Steps.StepEntity,41,0,0,0,9,0,5,0,5,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.traversal.algorithm.iterator,NestedIterator,346,0,40,0,74,0,33,0,13,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.variables,HugeVariables,899,0,56,0,194,0,46,0,18,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,UserJob,16,0,0,0,8,0,4,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,AlgorithmJob,90,0,4,0,20,0,6,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,ComputerJob,97,0,4,0,21,0,7,0,5,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,GremlinJob.GremlinJobProxy,20,0,0,0,6,0,4,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,JobBuilder,120,0,8,0,30,0,12,0,8,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,GremlinJob,180,0,8,0,43,0,8,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,EphemeralJob,6,0,0,0,2,0,2,0,2,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,EphemeralJobBuilder,88,0,4,0,24,0,10,0,8,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job,SysJob,16,0,0,0,8,0,4,0,4,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.algorithm.similarity,FusiformSimilarityAlgorithm,174,0,12,0,59,0,17,0,11,0
hugegraph-test/hugegraph-core,org.apache.hugegraph.job.algorithm.similarity,FusiformSimilarityAlgorithm.Traverser,115,0,6,0,22,0,6,0,3,0
hugegraph-test/hugegraph-core,org.apache.hugegraph,StandardHugeGraph.HugeGraphCacheNotifier,5,0,0,0,2,0,1,0,1,0
